gid,stream_name,reservation,site_number,river_basin,river_code,drainage_area(mi2),survey_reach(ft),latitude,longitude,river_mile,date,scorers,comments,stream_channel_mod,substrate_metric_total,percent_best_types,substrate_metric_a,substrate1,substrate2,per_boulder_slabs,per_boulder_256mm,per_bedrock,per_cobble,per_gravel,per_sand,per_silt,per_leaf_woody,per_detritus,per_clay_hardpan,per_muck,per_artificial,substrate_metric_b,pool_metric_total,pool_depth_(cm),bankfull_metric_total,average_bankfull_(m),riparian_width_left,riparian_width_right,floodplain_quality_left,floodplain_quality_right,flow_regime,sinuosity,stream_gradient,qhei_done,designated_use,watershed,usgs_quad,soil_map_page,soil_map_order,county,city_twp_name,base_flow,date_last_rain,amt_last_rain,turbid,%_canopy_open,water_sample,temp,dissolved_oxygen_mgl,ph,conductivity,reach_representative,fish_observed,fish_sample_method,fish_time_collecting_minutes,frogs_tadpoles_observed,salamanders_observed,salamander_sample_method,salamander_time_collecting_minutes,aquatic_macros_observed,macro_time_collecting_minutes,macro_vouchers_collected,macro_comments,mountain_dusky_larvae,mountain_dusky_juveniles,mountain_dusky_adults,northern_dusky_larvae,northern_dusky_juveniles,northern_dusky_adults,two_lined_larvae,two_lined_juveniles,two_lined_adults,long_tailed_larvae,long_tailed_juveniles,long_tailed_adults,northern_red_larvae,northern_red_juveniles,northern_red_adults,mole_larvae,mole_juveniles,mole_adults,four_toed_larvae,four_toed_juveniles,four_toed_adults,red_backed_juveniles,red_backed_adults,slimy_juveniles,slimy_adults,blacknose_dace,bluegill_sunfish,bluntnose_minnow,brindled_madtom,brook_stickleback,brook_trout,brown_trout,central_mudminnow,central_stoneroller_minnow,common_shiner,creek_chub,eastern_sand_darter,fantail_darter,fathead_minnow,golden_shiner,goldfish,grass_pickerel,greenside_darter,green_sunfish,johnny_darter,largemouth_bass,longear_sunfish,longnose_dace,mottled_sculpin,northern_hog_sucker,pumpkinseed_sunfish,rainbow_darter,rainbow_trout,redbelly_dace,redside_dace,river_chub,silverjaw_minnow,smallmouth_bass,spotfin_shiner,stonecat_madtom,striped_shiner,trout_perch,warmouth_sunfish,white_sucker,yellow_bullhead_catfish,unidentified_fish_fry,sessile_animals,aquatic_worms,sow_bugs,scuds,water_mites,damselfly_nymphs,alderfly_larvae,other_beetles,crayfish,dragonfly_nymphs,riffle_beetles,other_flies,midges,snails,clams,fishfly_larvae,water_penny_beetles,cranefly_larvae,ameletidae,arthropleidae,baetidae,baetiscidae,caenidae,ephemerellidae,ephemeridae,heptageniidae,isonychiidae,leptohyphidae,leptophlebiidae,polymitarcyidae,potamanthidae,pseudironidae,siphlonuridae,capniidae,chloroperlidae,leuctridae,nemouridae,peltoperlidae,perlidae,perlodidae,pteronarcyidae,taeniopterygidae,brachycentridae,dipseuodopsidae,glossosomatidae,goeridae,helicopsychidae,hydropsychidae,hydroptilidae,lepidostomatidae,leptoceridae,limnephilidae,molannidae,odontoceridae,philopotamidae,phryganeidae,polycentropodidae,psychomiidae,rhyacophilidae,uenoidae,total_mayfly,total_stonefly,total_caddisfly,total_ept,hhei_score,hmfei_score,hmfei_narrative
"1488",15-001-13.47III-4I,North Chagrin,"77","15","1",,200,41.56419,-81.42821,13.47,2010/07/28,"CW, BB, JS",,none/natural channel,"15",3,"9",clay or hardpan,gravel,0,3,0,0,17,10,3,7,0,60,0,0,"6","15",5.3,"20",1.97,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"1",moderate to severe,no,WWH,Chagrin River,Mayfield Heights,"5","1",Cuyahoga,Mayfield,yes,2010/07/25,0.15,no,14,no,23.4,1.75,6.7,0.221,yes,no,,0,yes,no,visual and dip net,"10",yes,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,common,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50","3",Class I/Ephemeral
"1489",15-001-12.69III-4II,North Chagrin,"55","15","1",0.36,200,41.57571,-81.42798,12.69,2016/06/24,"CW, OL, SW, ES, AM",,none/natural channel,"33",34,"25",gravel,bedrock,0,4,20,10,41,10,2,9,1,3,0,0,"8","30",23,"25",3.8,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"0.5",moderate,no,WWH,Chagrin River,Mayfield Heights,"28","1",Lake,Willoughby Hills,yes,2016/06/23,0.1,no,18,no,,,,,yes,no,visual and dip net,5,yes,yes,visual and dip net,"20",yes,"30",,,,"8","37",,,,"50","11","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,rare,common,,rare,,common,common,,abundant,rare,abundant,,,,,common,,,common,,,,,,,,,,,,,,,very abundant,,,,,,,,,,,,abundant,,,,,,,rare,,common,,,,"1","1","3","5","88","29",Class III/Spring Water
"1490",15-001-13.47III-3I,North Chagrin,"76","15","1",,200,41.56268,-81.42808,13.47,2010/07/28,"CW, NM, BB, JS",,none/natural channel,"17",3,"9",sand,silt,0,1,0,2,10,54,15,6,5,7,0,0,"8","25",12.6,"20",2.75,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"2",moderate,no,WWH,Chagrin River,Mayfield Heights,"5","1",Cuyahoga,Mayfield,yes,2010/07/25,0.15,no,16,no,22.8,1.98,6.96,0.403,yes,no,,0,yes,yes,visual and dip net,"10",yes,"20",,,,,,,"1","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,common,,rare,,abundant,common,abundant,abundant,,,rare,,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"1","62","14",Class II/Warm Water
"1491",15-001-12.69III-4II,North Chagrin,"55","15","1",0.36,200,41.57572,-81.42784,12.69,2010/07/22,"CW, NM, BB",,none/natural channel,"29",41,"21",gravel,cobble,4,2,8,27,35,20,1,3,0,0,0,0,"8","30",29.8,"30",7.82,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"0",moderate,no,WWH,Chagrin River,Mayfield Heights,"28","1",Lake,Willoughby Hills,yes,2010/07/20,0.15,no,20,no,22.4,5.5,7.58,0.738,yes,yes,visual and dip net,10,yes,yes,visual and dip net,"10",yes,"20",,,,"1","7",,,"6","3","1","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,abundant,common,common,rare,rare,,,rare,common,abundant,abundant,common,,common,,,rare,abundant,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,,,common,,,,"2",,"2","4","89","29",Class III/Spring Water
"1492",15-001-12.69III-4I,North Chagrin,"65","15","1",,200,41.56946,-81.42784,12.69,2010/07/27,"CW, NM, BB, JS",,none/natural channel,"14",5,"6",sand,clay or hardpan,1,1,1,2,13,45,0,7,0,30,0,0,"8","5",0.3,"20",2.6,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,>3.0,moderate to severe,no,WWH,Chagrin River,Mayfield Heights,"28","0",Cuyahoga,Mayfield,yes,2010/07/25,0.15,no,15,no,,,,,yes,no,,0,no,yes,visual,"10",no,"0",,,,,"1",,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39","0",Class I/Ephemeral
"1493",15-001-26.68IV-21I,South Chagrin,"11","15","1",0.019,200,41.41831,-81.43017,26.68,2003/09/16,JS,,none/natural channel,"28",44,"21",gravel,cobble,0,17,2,25,33,10,5,8,0,0,0,0,"7","25",12.5,"20",1.61,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"3",moderate to severe,no,WWH,Chagrin River,Chagrin Falls,"35","1",Cuyahoga,Solon,yes,2003/09/15,0.25,no,5,no,14.2,,7.82,0.54,yes,no,,,no,yes,visual,"21",yes,"41",,,,"2","1","2","3","8",,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,common,rare,,common,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,,,common,,,,,,"2","2","73","14",Class II/Warm Water
"1494",15-001-26.68IV-21I,South Chagrin,"11","15","1",0.019,200,41.41825,-81.43013,26.68,2004/06/08,"JS, RS",,none/natural channel,"29",50,"21",gravel,cobble,8,15,2,25,35,10,2,3,0,0,0,0,"8","25",13,"20",1.71,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,>3.0,moderate,no,WWH,Chagrin River,Chagrin Falls,"35","1",Cuyahoga,Solon,yes,2004/06/06,0.07,no,10,no,17.9,,7.62,0.54,yes,no,,,yes,yes,visual,"17",yes,"66",,,,,"1","2","2","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,rare,rare,abundant,,,rare,common,,,rare,,common,,,,,,,,,,,abundant,,,,,,,,common,,,,,,,,,,,abundant,,,,,,,,,common,,,abundant,"1","1","3","5","74","28",Class III/Spring Water
"1495",1t-001-26.68IV-1III,South Chagrin ,"29","15","001",0.7,200,41.4151667,-81.4301447,26.68,2021/07/02,"CW, AB, KV",,none/natural channel,"28",37,"21",cobble,gravel,0,10,0,27,33,20,1,1,0,8,0,0,"7","25",22,"25",3.93,moderate,moderate,mature forest or wetland,"residential, park, new field",stream flowing,"0.5",moderate,no,WWH,Chagrin River,Chagrin Falls,,,Cuyahoga,Solon,yes,2021/07/01,0.16,no,24,no,17,,,,yes,yes,visual and dip net,10,yes,yes,visual and dip net,"25",yes,"65",no,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,abundant,rare,abundant,,,,,,rare,common,rare,abundant,common,,,,abundant,,,very abundant,,,,,,,,,,,,,,,abundant,,,,,,,,,,,,abundant,,,,,,,,,common,,,,"1","1","2","4","78","25",Class III/Spring Water
"1496",15-001-12.69III-4II,North Chagrin ,"55","15","001",0.36,200,41.576048,-81.4274022,12.69,2021/08/04,"CW, AB, KV",,none/natural channel,"33",51,"25",bedrock,gravel,0,3,40,8,30,10,1,4,0,4,0,0,"8","30",27,"20",2.06,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1.0",moderate,no,WWH,Chagrin River ,Mayfield Heights,,,Lake,Willoughby Hills,yes,2021/08/01,0.48,no,28,no,17,,,,yes,yes,visual and dip net,10,yes,yes,visual and dip net,"30",yes,"45",no,,,,,,,,"8","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,common,,,rare,,,rare,common,common,common,common,,,,,abundant,,,abundant,,,,,,,,,,,,,,,common,,,,,,,,,,,,abundant,,,,,,,common,,rare,,,,"1","1","3","5","83","29",Class III/Spring Water
"1497",15-001-13.47III-2I,North Chagrin,"75","15","1",,200,41.56257,-81.42744,13.47,2010/07/28,"CW, NM, BB, JS",,none/natural channel,"22",5,"15",sand,gravel,0,1,0,4,31,40,3,6,0,15,0,0,"7","15",8.9,"20",1.88,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"2.5",flat to moderate,no,WWH,Chagrin River,Mayfield Heights,"5","1",Cuyahoga,Mayfield,yes,2010/07/25,0.15,no,14,no,23.5,1.97,7.12,0.33,yes,no,,0,yes,yes,visual and dip net,"10",yes,"20",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,rare,abundant,common,rare,,abundant,common,rare,rare,,,,,,,,,,,,,,common,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,common,,,,"1","1","1","3","57","20",Class III/Spring Water
"1498",15-001-12.69III-17I,North Chagrin,"48","15","1",,200,41.57686,-81.42714,12.69,2010/07/21,"CW, NM, BB, JS, SM",,none/natural channel,"5",1,"0",clay or hardpan,clay or hardpan,0,0,0,1,5,10,0,10,0,74,0,0,"5","0",0,"15",1.2,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"0.5",severe,no,WWH,Chagrin River,Mayfield Heights,"28","0",Lake,Willoughby Hills,yes,2010/07/20,0.15,no,18,no,,,,,yes,no,,0,no,no,visual,"10",no,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20","0",Class I/Ephemeral
"1499",15-001-26.68IV-6II,South Chagrin,"9","15","1",0.14,200,41.4217,-81.42959,26.68,2003/09/12,JS,,none/natural channel,"28",53,"21",gravel,cobble,12,8,5,28,40,0,2,5,0,0,0,0,"7","25",11.5,"25",3.73,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,>3.0,moderate,no,WWH,Chagrin River,Chagrin Falls,"35","1",Cuyahoga,Solon,yes,2003/09/09,0.07,no,10,no,17.1,,7.24,0.875,yes,no,,,yes,yes,visual,"25",yes,"83",,,"2","2","13",,"7","11","5",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,rare,,common,,,,common,,,,rare,,,rare,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,rare,,common,,,,"2",,"3","5","78","22",Class III/Spring Water
"1500",15-001-26.68IV-6II,South Chagrin,"9","15","1",0.14,200,41.42187,-81.42954,26.68,2004/06/07,"JS, RS",,none/natural channel,"29",43,"21",gravel,cobble,8,2,3,30,40,10,4,2,0,1,0,0,"8","30",28,"20",2.06,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"2.5",flat to moderate,no,WWH,Chagrin River,Chagrin Falls,"35","1",Cuyahoga,Solon,yes,2004/06/06,0.07,no,20,no,15.8,,7.27,0.917,yes,no,,,yes,yes,visual,"27",yes,"63",,,,"1","10",,"5","7","19",,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,rare,,,,,common,,,common,rare,,,rare,,common,,,,,,,,,,,,,,,,,,abundant,rare,,,,,,,,,,,abundant,,,,,,,,,common,,,abundant,,"2","3","5","79","27",Class III/Spring Water
"1501",15-001-26.68IV-7II,South Chagrin,"6","15","1",0.0223,200,41.4224,-81.42929,26.68,2003/09/11,JS,,none/natural channel,"29",50,"21",gravel,cobble,5,10,15,20,30,5,5,10,0,0,0,0,"8","25",14,"20",1.68,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"0.5",moderate to severe,no,WWH,Chagrin River,Chagrin Falls,"35","1",Cuyahoga,Solon,yes,2003/09/09,0.15,no,10,no,17.2,,7.5,0.948,yes,no,,,yes,yes,visual,"12",yes,"28",,,,,"1",,"2","3",,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,rare,rare,,,common,rare,,,common,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,,,,,,,,,"1",,"1","2","74","15",Class II/Warm Water
"1502",15-001-13.49II-2I,North Chagrin ,"83","15","001",0.0945,200,41.5595687,-81.4270267,13.49,2021/07/26,"CW, KV",,none/natural channel,"32",34,"25",bedrock,gravel,0,1,33,0,35,18,2,1,0,10,0,0,"7","15",9,"20",2.53,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"2.5",moderate to severe,no,WWH,Chagrin River ,Mayfield Heights,,,Cuyahoga,Mayfield,yes,2021/07/24,0.2,no,15,no,18,,,,yes,no,none,,no,yes,visual and dip net,"15",yes,"45",no,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,common,rare,,,common,abundant,abundant,,,,common,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,common,,,,,,,,,,,,,"0","1","1","2","67","16",Class II/Warm Water
"1503",15-001-13.49II-2I,North Chagrin,"83","15","1",0.0945,200,41.55947,-81.42701,13.49,2010/07/30,"CW, NM, AR, BB, JS",,none/natural channel,"32",66,"25",bedrock,gravel,0,1,57,8,17,12,1,4,0,0,0,0,"7","5",4.6,"20",2.08,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"2",moderate,no,WWH,Chagrin River,Mayfield Heights,"5","2",Cuyahoga,Mayfield,yes,2010/07/28,0.6,no,18,no,,,,,yes,no,,0,yes,yes,visual and dip net,"10",yes,"15",,,,,,"1",,"1",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,abundant,rare,rare,,common,abundant,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57","9",Class II/Warm Water
"1504",15-001-13.50III-5I,North Chagrin,"88","15","1",,200,41.5542,-81.42709,13.5,2010/08/02,"CW, NM, AR, BB, JS",,none/natural channel,"23",14,"15",gravel,sand,1,2,1,10,55,23,1,7,0,0,0,0,"8","25",12.5,"20",1.61,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"2.5",moderate,no,WWH,Chagrin River,Mayfield Heights,"5","0",Cuyahoga,Mayfield,yes,2010/07/28,0.6,no,18,no,20.3,2.34,6.54,0.309,yes,no,,0,yes,yes,visual and dip net,"10",yes,"10",,,,,,,"2","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,very abundant,,common,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68","4",Class I/Ephemeral
"1505",15-001-13.49II-2I,North Chagrin,"83","15","1",0.0945,200,41.5595,-81.42699,13.49,2016/06/27,"CW, OL, SW, ES",,none/natural channel,"40",82.5,"32",bedrock,bedrock,0,0.5,80,2,5,5,0.5,3.5,0.5,3,0,0,"8","15",5.1,"15",1.21,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,>3.0,severe,no,WWH,Chagrin River,Mayfield Heights,"5","2",Cuyahoga,Mayfield,yes,2016/06/26,0.05,no,17,no,,,,,yes,no,visual and dip net,5,yes,yes,visual and dip net,"10",yes,"20",,,,"1",,,,,,"2","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,common,,rare,,abundant,common,very abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70","7",Class II/Warm Water
"1506",15-001-26.68IV-7II,South Chagrin,"6","15","1",0.0223,200,41.42234,-81.42922,26.68,2004/06/07,"JS, RS",,none/natural channel,"32",45,"25",gravel,boulder,0,17,14,14,30,10,5,10,0,0,0,0,"7","25",18,"15",1.31,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"2",moderate to severe,no,WWH,Chagrin River,Chagrin Falls,"35","1",Cuyahoga,Solon,yes,2004/06/06,0.07,no,15,no,15,,7.81,0.703,yes,no,,,no,yes,visual,"17",yes,"79",,,,"1","2",,"2","5",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,common,,,common,common,rare,rare,common,,common,,,,,,,,,,,,,,,,,,abundant,abundant,,,,,,,,,,,abundant,,,,,,,,,,,,abundant,,"2","2","4","72","25",Class III/Spring Water
"1507",15-001-11.83III-9I,North Chagrin,"30","15","1",,200,41.58143,-81.42649,11.83,2018/08/14,"CW, OL, VR, MW",,none/natural channel,"22",3,"15",gravel,sand,0,1,0,2,40,28,2,12,0,15,0,0,"7","25",13.4,"5",0.8,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",severe,no,WWH,Chagrin River,Mayfield Heights,"28","1",Lake,Willoughby Hills,yes,2018/08/14,0.01,no,20,no,,,,,yes,no,,,yes,no,visual and dip net,"10",yes,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,common,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52","5",Class I/Ephemeral
"1508",15-001-11.83III-9I,North Chagrin,"30","15","1",,200,41.58146,-81.42646,11.83,2010/07/15,"CW, AR, BB, JS",,none/natural channel,"13",3,"6",clay or hardpan,sand,0,1,0,2,22,30,3,12,0,30,0,0,"7","15",7,"15",1.37,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"1",moderate to severe,no,WWH,Chagrin River,Mayfield Heights,"28","1",Lake,Willoughby Hills,yes,2010/07/12,2,no,20,no,22.2,3.38,7.75,1.581,yes,no,,0,yes,yes,visual and dip net,"10",yes,"20",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,rare,,,common,abundant,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43","8",Class II/Warm Water
"1509",15-001-12.50III-2I,North Chagrin,"46","15","1",,200,41.57837,-81.42646,12.5,2010/07/21,"CW, NM, BB, JS, SM",,none/natural channel,"12",1,"6",clay or hardpan,sand,0,1,0,0,10,20,2,10,0,57,0,0,"6","25",14.8,"15",1.2,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"1",severe,no,WWH,Chagrin River,Mayfield Heights,"28","0",Lake,Willoughby Hills,yes,2010/07/20,0.15,no,17,no,21.3,3.56,7.64,0.876,yes,no,,0,yes,no,visual and dip net,"10",yes,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,common,common,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"1","52","6",Class I/Ephemeral
"1510",15-001-13.50III-4I,North Chagrin,"89","15","1",,200,41.55381,-81.42686,13.5,2010/08/02,"CW, NM, AR, BB, JS",,none/natural channel,"23",10,"15",gravel,sand,1,2,1,6,50,23,1,6,0,10,0,0,"8","5",2.2,"20",1.66,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"2",moderate,no,WWH,Chagrin River,Mayfield Heights,"5","0",Cuyahoga,Mayfield,yes,2010/07/28,0.6,no,17,no,,,,,yes,no,,0,no,yes,visual,"10",yes,"10",,,,,,,"4","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48","2",Class I/Ephemeral
"1511",15-001-13.50III-1I,North Chagrin ,"99","15","001",0.35,200,41.5503242,-81.4269082,13.5,2021/08/04,"CW, AB, KV",,none/natural channel,"23",17,"15",gravel,sand,0,4,6,7,43,29,2,2,0,7,0,0,"8","25",12,"25",3.93,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1.0",moderate,no,WWH,Chagrin River ,Mayfield Heights,,,Cuyahoga,Mayfield,yes,2021/08/01,0.48,no,15,no,15,,,,no,yes,visual and dip net,5,yes,no,visual and dip net,"20",yes,"50",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,very abundant,,common,,rare,,rare,common,abundant,abundant,abundant,,,,rare,,,very abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,"1","0","1","2","73","20",Class III/Spring Water
"1512",15-001-12.69III-9I,North Chagrin,"56","15","1",,200,41.57343,-81.42649,12.69,2010/07/22,"CW, NM, BB",,none/natural channel,"29",51,"21",gravel,cobble,18,6,7,20,23,12,1,6,0,7,0,0,"8","5",2.2,"20",2.17,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"0",severe,no,WWH,Chagrin River,Mayfield Heights,"28","0",Lake,Willoughby Hills,yes,2010/07/20,0.15,no,17,no,,,,,yes,no,,0,no,yes,visual,"10",yes,"10",,,,,"4",,,"1",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,,abundant,,,,,,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"1","54","5",Class I/Ephemeral
"1513",15-001-11.83III-8I,North Chagrin,"29","15","1",,200,41.58108,-81.42625,11.83,2018/08/14,"CW, OL, VR, MW",,none/natural channel,"22",3,"15",gravel,sand,0,1,0,2,40,30,1,9,0,17,0,0,"7","25",17.7,"5",0.68,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"1",moderate to severe,no,WWH,Chagrin River,Mayfield Heights,"28","0",Lake,Willoughby Hills,yes,2018/08/14,0.01,no,18,no,,,,,yes,no,,,yes,yes,visual and dip net,"10",yes,"20",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,common,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52","3",Class I/Ephemeral
"1514",15-001-26.68IV-28I,South Chagrin,"7","15","1",0.00572,200,41.42284,-81.42879,26.68,2004/06/07,"JS, RS",,none/natural channel,"20",20,"12",gravel,leaf pack/woody debris,0,5,3,12,35,13,5,30,0,0,0,2,"8","30",30,"15",1.26,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"2",moderate to severe,no,WWH,Chagrin River,Chagrin Falls,"35","1",Cuyahoga,Bentleyville,yes,2004/06/06,0.07,no,10,no,13,,7.12,0.951,yes,no,,,no,yes,visual,"19",yes,"64",,,,"1",,,"5","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,rare,rare,,,common,rare,common,,,,rare,,,,,,,,,,,,,,,,,,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"1","65","13",Class II/Warm Water
"1515",15-001-12.50III-3I,North Chagrin,"45","15","1",,200,41.5786,-81.42623,12.5,2010/07/21,"CW, NM, BB, JS, SM",,none/natural channel,"11",0,"6",clay or hardpan,sand,0,0,0,0,10,15,2,7,0,66,0,0,"5","25",10.3,"15",1.25,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"0.5",severe,no,WWH,Chagrin River,Mayfield Heights,"28","0",Lake,Willoughby Hills,yes,2010/07/20,0.15,no,16,no,21.6,4.22,7.77,0.596,yes,no,,0,yes,yes,visual and dip net,"10",yes,"15",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,abundant,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51","3",Class I/Ephemeral
